Region,Issues,Minor,MinorTimestamp,Major,MajorTimestamp,ClosingEmbassies,Link
"Ferrari","WFE, Embassies",7,"0:00:07",10,"0:00:10",False,"https://www.nationstates.net/region=ferrari"
"South America Union","WFE, RO, Embassies",9,"0:00:09",13,"0:00:13",False,"https://www.nationstates.net/region=south_america_union"
"CLC","WFE, RO, Embassies",11,"0:00:11",16,"0:00:16",False,"https://www.nationstates.net/region=clc"
"Kentucky Fried Chicken","RO",31,"0:00:31",47,"0:00:47",False,"https://www.nationstates.net/region=kentucky_fried_chicken"
"Oracle of His Ashes","WFE, Embassies",32,"0:00:32",48,"0:00:48",False,"https://www.nationstates.net/region=oracle_of_his_ashes"
"Bongregion","RO, Embassies",32,"0:00:32",49,"0:00:49",False,"https://www.nationstates.net/region=bongregion"
"Organization of Moscow Pact","RO, Embassies",32,"0:00:32",49,"0:00:49",False,"https://www.nationstates.net/region=organization_of_moscow_pact"
"Card Defenders Alliance","WFE, RO, Embassies",32,"0:00:32",49,"0:00:49",False,"https://www.nationstates.net/region=card_defenders_alliance"
"Union of Republic States","WFE, RO, Embassies",34,"0:00:34",51,"0:00:51",False,"https://www.nationstates.net/region=union_of_republic_states"
"The Allied Federation","WFE, RO, Embassies",34,"0:00:34",51,"0:00:51",False,"https://www.nationstates.net/region=the_allied_federation"
"Jade Was Here","RO, Embassies",34,"0:00:34",52,"0:00:52",False,"https://www.nationstates.net/region=jade_was_here"
"abrupt","RO",34,"0:00:34",52,"0:00:52",False,"https://www.nationstates.net/region=abrupt"
"Commonwealth Of United Kingdom","WFE, Embassies",34,"0:00:34",52,"0:00:52",False,"https://www.nationstates.net/region=commonwealth_of_united_kingdom"
"The United Meritocrats","WFE, RO, Embassies",35,"0:00:35",53,"0:00:53",False,"https://www.nationstates.net/region=the_united_meritocrats"
"The furry union","RO",38,"0:00:38",57,"0:00:57",False,"https://www.nationstates.net/region=the_furry_union"
"acceptable","WFE, RO, Embassies",43,"0:00:43",64,"0:01:04",False,"https://www.nationstates.net/region=acceptable"
"Les Rouge Mann","WFE, Embassies",43,"0:00:43",64,"0:01:04",False,"https://www.nationstates.net/region=les_rouge_mann"
"Riverhide","RO, Embassies",43,"0:00:43",64,"0:01:04",False,"https://www.nationstates.net/region=riverhide"
"Racoonist Confederation","Embassies",45,"0:00:45",68,"0:01:08",False,"https://www.nationstates.net/region=racoonist_confederation"
"The Collective Nations of Chungus","RO",45,"0:00:45",68,"0:01:08",False,"https://www.nationstates.net/region=the_collective_nations_of_chungus"
"diomnlark","WFE, RO, Embassies",47,"0:00:47",70,"0:01:10",False,"https://www.nationstates.net/region=diomnlark"
"Senko Sans Palace","WFE, RO, Embassies",48,"0:00:48",72,"0:01:12",False,"https://www.nationstates.net/region=senko_sans_palace"
"the dictorship of covenant","Embassies",48,"0:00:48",72,"0:01:12",False,"https://www.nationstates.net/region=the_dictorship_of_covenant"
"Raspuland","RO",49,"0:00:49",73,"0:01:13",False,"https://www.nationstates.net/region=raspuland"
"Yamstan Invasioxz","WFE, Embassies",49,"0:00:49",74,"0:01:14",False,"https://www.nationstates.net/region=yamstan_invasioxz"
"The Mythic Isles","WFE, RO, Embassies",49,"0:00:49",74,"0:01:14",False,"https://www.nationstates.net/region=the_mythic_isles"
"United Conservative Alliance","RO",50,"0:00:50",75,"0:01:15",False,"https://www.nationstates.net/region=united_conservative_alliance"
"The NationStates Commonwealth","WFE, RO, Embassies",51,"0:00:51",76,"0:01:16",False,"https://www.nationstates.net/region=the_nationstates_commonwealth"
"Der Deutsche Staatenbund","WFE, Embassies",51,"0:00:51",77,"0:01:17",False,"https://www.nationstates.net/region=der_deutsche_staatenbund"
"Warzone AOAN","WFE, RO, Embassies",52,"0:00:52",78,"0:01:18",False,"https://www.nationstates.net/region=warzone_aoan"
"Open Ocean 7","RO, Embassies",53,"0:00:53",80,"0:01:20",False,"https://www.nationstates.net/region=open_ocean_7"
"Protective Realm","WFE",55,"0:00:55",83,"0:01:23",False,"https://www.nationstates.net/region=protective_realm"
"The Ancient Republican States","WFE, RO, Embassies",55,"0:00:55",83,"0:01:23",True,"https://www.nationstates.net/region=the_ancient_republican_states"
"Elite Warriors","Embassies",57,"0:00:57",85,"0:01:25",False,"https://www.nationstates.net/region=elite_warriors"
"God clan","RO, Embassies",59,"0:00:59",89,"0:01:29",False,"https://www.nationstates.net/region=god_clan"
"CORPORATE SECTOR AUTHORITY","WFE, Embassies",59,"0:00:59",89,"0:01:29",False,"https://www.nationstates.net/region=corporate_sector_authority"
"Gelre","WFE",61,"0:01:01",91,"0:01:31",False,"https://www.nationstates.net/region=gelre"
"United Federation of Peace and Freedom","WFE",73,"0:01:13",109,"0:01:49",False,"https://www.nationstates.net/region=united_federation_of_peace_and_freedom"
"The South Intermediate Lands","WFE, Embassies",74,"0:01:14",110,"0:01:50",False,"https://www.nationstates.net/region=the_south_intermediate_lands"
"Bongo","RO, Embassies",74,"0:01:14",111,"0:01:51",False,"https://www.nationstates.net/region=bongo"
"The Concord of Nations","WFE",74,"0:01:14",111,"0:01:51",False,"https://www.nationstates.net/region=the_concord_of_nations"
"BJKB","WFE, RO, Embassies",79,"0:01:19",118,"0:01:58",False,"https://www.nationstates.net/region=bjkb"
"Sinic States","WFE, RO, Embassies",79,"0:01:19",118,"0:01:58",False,"https://www.nationstates.net/region=sinic_states"
"Aorda","WFE, RO, Embassies",79,"0:01:19",118,"0:01:58",False,"https://www.nationstates.net/region=aorda"
"The Ancient Realm","Embassies",80,"0:01:20",121,"0:02:01",False,"https://www.nationstates.net/region=the_ancient_realm"
"Behind M4","Embassies",85,"0:01:25",128,"0:02:08",False,"https://www.nationstates.net/region=behind_m4"
"The 501st Legion","WFE",85,"0:01:25",128,"0:02:08",False,"https://www.nationstates.net/region=the_501st_legion"
"The Worlds Zoo","WFE, Embassies",86,"0:01:26",129,"0:02:09",False,"https://www.nationstates.net/region=the_worlds_zoo"
"Kingdom of Mathematics","RO, Embassies",86,"0:01:26",130,"0:02:10",False,"https://www.nationstates.net/region=kingdom_of_mathematics"
"sad","RO",88,"0:01:28",133,"0:02:13",False,"https://www.nationstates.net/region=sad"
"Czerchov","WFE, RO, Embassies",89,"0:01:29",134,"0:02:14",False,"https://www.nationstates.net/region=czerchov"
"The Tundra Archipelago States","RO, Embassies",90,"0:01:30",136,"0:02:16",False,"https://www.nationstates.net/region=the_tundra_archipelago_states"
"Hexalia","WFE, RO, Embassies",90,"0:01:30",136,"0:02:16",False,"https://www.nationstates.net/region=hexalia"
"Dragonborn Confederate","WFE, RO, Embassies",91,"0:01:31",137,"0:02:17",False,"https://www.nationstates.net/region=dragonborn_confederate"
"Abayan Reigon","Embassies",99,"0:01:39",148,"0:02:28",False,"https://www.nationstates.net/region=abayan_reigon"
"Darkhaven","RO",99,"0:01:39",149,"0:02:29",False,"https://www.nationstates.net/region=darkhaven"
"Shizei","RO",99,"0:01:39",149,"0:02:29",False,"https://www.nationstates.net/region=shizei"
"Umesh","RO",100,"0:01:40",150,"0:02:30",False,"https://www.nationstates.net/region=umesh"
"The Roleplay Chessboard","WFE, Embassies",101,"0:01:41",151,"0:02:31",False,"https://www.nationstates.net/region=the_roleplay_chessboard"
"Better Lands Of The Oooga Booga","WFE, Embassies",104,"0:01:44",156,"0:02:36",False,"https://www.nationstates.net/region=better_lands_of_the_oooga_booga"
"Coral Reef 10","RO",107,"0:01:47",160,"0:02:40",False,"https://www.nationstates.net/region=coral_reef_10"
"United Soviet Federation","WFE",107,"0:01:47",160,"0:02:40",False,"https://www.nationstates.net/region=united_soviet_federation"
"The New State of Germani Prussia","RO, Embassies",107,"0:01:47",161,"0:02:41",False,"https://www.nationstates.net/region=the_new_state_of_germani_prussia"
"Combine world","WFE, RO, Embassies",108,"0:01:48",162,"0:02:42",False,"https://www.nationstates.net/region=combine_world"
"hugy wugy escapa roblox fortnite juego p","WFE",108,"0:01:48",162,"0:02:42",False,"https://www.nationstates.net/region=hugy_wugy_escapa_roblox_fortnite_juego_p"
"National Republic Of Pugnator","RO",108,"0:01:48",162,"0:02:42",False,"https://www.nationstates.net/region=national_republic_of_pugnator"
"Celtic Nations","WFE, RO, Embassies",108,"0:01:48",162,"0:02:42",False,"https://www.nationstates.net/region=celtic_nations"
"Le Royaume de France","WFE, Embassies",109,"0:01:49",163,"0:02:43",False,"https://www.nationstates.net/region=le_royaume_de_france"
"Realm ov Autistik Ordenstaats","WFE, Embassies",109,"0:01:49",164,"0:02:44",False,"https://www.nationstates.net/region=realm_ov_autistik_ordenstaats"
"Erruwon","RO, Embassies",109,"0:01:49",164,"0:02:44",False,"https://www.nationstates.net/region=erruwon"
"Ascensionsen","RO",114,"0:01:54",171,"0:02:51",False,"https://www.nationstates.net/region=ascensionsen"
"Owls","WFE, Embassies",115,"0:01:55",172,"0:02:52",False,"https://www.nationstates.net/region=owls"
"Sovishire farmboys","RO",115,"0:01:55",173,"0:02:53",False,"https://www.nationstates.net/region=sovishire_farmboys"
"The Lands Wayyyyy Down Under","WFE, RO, Embassies",116,"0:01:56",174,"0:02:54",False,"https://www.nationstates.net/region=the_lands_wayyyyy_down_under"
"Grand Forks Central Political Alliance","WFE, RO, Embassies",117,"0:01:57",175,"0:02:55",False,"https://www.nationstates.net/region=grand_forks_central_political_alliance"
"academy","WFE, RO, Embassies",117,"0:01:57",175,"0:02:55",False,"https://www.nationstates.net/region=academy"
"Jack Daniels","WFE, RO, Embassies",117,"0:01:57",176,"0:02:56",False,"https://www.nationstates.net/region=jack_daniels"
"abounded","RO, Embassies",117,"0:01:57",176,"0:02:56",False,"https://www.nationstates.net/region=abounded"
"Happy Valley","WFE, Embassies",118,"0:01:58",177,"0:02:57",False,"https://www.nationstates.net/region=happy_valley"
"Federation of Nation and Freedom","WFE, RO, Embassies",120,"0:02:00",180,"0:03:00",False,"https://www.nationstates.net/region=federation_of_nation_and_freedom"
"Contumacious","RO",121,"0:02:01",181,"0:03:01",False,"https://www.nationstates.net/region=contumacious"
"The Holy Federation of Dunkeld","RO",123,"0:02:03",184,"0:03:04",False,"https://www.nationstates.net/region=the_holy_federation_of_dunkeld"
"Qwertyuiopasdfghjklzxcvbnm","Embassies",124,"0:02:04",186,"0:03:06",False,"https://www.nationstates.net/region=qwertyuiopasdfghjklzxcvbnm"
"Disasters","RO",125,"0:02:05",187,"0:03:07",False,"https://www.nationstates.net/region=disasters"
"acceptance","WFE, Embassies",126,"0:02:06",188,"0:03:08",False,"https://www.nationstates.net/region=acceptance"
"Religious Freedom","WFE, RO, Embassies",126,"0:02:06",188,"0:03:08",False,"https://www.nationstates.net/region=religious_freedom"
"Epic Gamers","WFE, RO, Embassies",127,"0:02:07",190,"0:03:10",False,"https://www.nationstates.net/region=epic_gamers"
"Mutually Assured Posting","WFE, Embassies",130,"0:02:10",194,"0:03:14",False,"https://www.nationstates.net/region=mutually_assured_posting"
"Kiansia Continent","RO, Embassies",133,"0:02:13",200,"0:03:20",False,"https://www.nationstates.net/region=kiansia_continent"
"Sokial","WFE",133,"0:02:13",200,"0:03:20",False,"https://www.nationstates.net/region=sokial"
"The United Entente","Embassies",133,"0:02:13",200,"0:03:20",False,"https://www.nationstates.net/region=the_united_entente"
"SEPERATIST ONLY","RO",133,"0:02:13",200,"0:03:20",False,"https://www.nationstates.net/region=seperatist_only"
"The Rushianian Commonwelth","WFE, Embassies",136,"0:02:16",204,"0:03:24",False,"https://www.nationstates.net/region=the_rushianian_commonwelth"
"Freeland Republic","WFE, Embassies",136,"0:02:16",205,"0:03:25",False,"https://www.nationstates.net/region=freeland_republic"
"Southern United Peoples","WFE, RO, Embassies",138,"0:02:18",208,"0:03:28",False,"https://www.nationstates.net/region=southern_united_peoples"
"The Empire of Gilderon","Embassies",143,"0:02:23",215,"0:03:35",False,"https://www.nationstates.net/region=the_empire_of_gilderon"
"Communist and Socialist Faction","RO, Embassies",143,"0:02:23",215,"0:03:35",False,"https://www.nationstates.net/region=communist_and_socialist_faction"
"Alternative do NationStates","WFE, RO, Embassies",144,"0:02:24",216,"0:03:36",False,"https://www.nationstates.net/region=alternative_do_nationstates"
"Dorito Juice","RO, Embassies",144,"0:02:24",217,"0:03:37",False,"https://www.nationstates.net/region=dorito_juice"
"abolitionary","Embassies",149,"0:02:29",224,"0:03:44",False,"https://www.nationstates.net/region=abolitionary"
"Pilgrimags Region","WFE, RO, Embassies",151,"0:02:31",227,"0:03:47",False,"https://www.nationstates.net/region=pilgrimags_region"
"The Land of Dweebs","Embassies",152,"0:02:32",228,"0:03:48",False,"https://www.nationstates.net/region=the_land_of_dweebs"
"The Kindly Barracks of the Soup Legion","RO",152,"0:02:32",228,"0:03:48",False,"https://www.nationstates.net/region=the_kindly_barracks_of_the_soup_legion"
"Yisrael","RO, Embassies",152,"0:02:32",228,"0:03:48",False,"https://www.nationstates.net/region=yisrael"
"Commonwealth Federation","RO, Embassies",154,"0:02:34",231,"0:03:51",False,"https://www.nationstates.net/region=commonwealth_federation"
"Northern Atlantic Ocean","RO, Embassies",163,"0:02:43",245,"0:04:05",False,"https://www.nationstates.net/region=northern_atlantic_ocean"
"Kostenlos","WFE, RO, Embassies",163,"0:02:43",245,"0:04:05",False,"https://www.nationstates.net/region=kostenlos"
"The Democracy Pact","WFE, Embassies",164,"0:02:44",246,"0:04:06",False,"https://www.nationstates.net/region=the_democracy_pact"
"Water Water Everywhere But Not a Drop To","RO",164,"0:02:44",246,"0:04:06",False,"https://www.nationstates.net/region=water_water_everywhere_but_not_a_drop_to"
"The ULN","RO",171,"0:02:51",257,"0:04:17",False,"https://www.nationstates.net/region=the_uln"
"Piglandpoop","RO, Embassies",171,"0:02:51",257,"0:04:17",False,"https://www.nationstates.net/region=piglandpoop"
"Zawdisian Union","RO, Embassies",171,"0:02:51",257,"0:04:17",False,"https://www.nationstates.net/region=zawdisian_union"
"The Koprulu Sector","WFE, Embassies",171,"0:02:51",257,"0:04:17",False,"https://www.nationstates.net/region=the_koprulu_sector"
"The Collective States Of Utopia","WFE, Embassies",172,"0:02:52",258,"0:04:18",False,"https://www.nationstates.net/region=the_collective_states_of_utopia"
"Pandoran States","WFE, RO, Embassies",172,"0:02:52",258,"0:04:18",False,"https://www.nationstates.net/region=pandoran_states"
"Western warzone advance","WFE, RO, Embassies",173,"0:02:53",259,"0:04:19",False,"https://www.nationstates.net/region=western_warzone_advance"
"Unitarian Union","Embassies",190,"0:03:10",285,"0:04:45",False,"https://www.nationstates.net/region=unitarian_union"
"South Asian Association for Cooperation","WFE",190,"0:03:10",286,"0:04:46",False,"https://www.nationstates.net/region=south_asian_association_for_cooperation"
"Deep Sea 4","RO, Embassies",191,"0:03:11",287,"0:04:47",False,"https://www.nationstates.net/region=deep_sea_4"
"Commonwealth of Geopolitics","Embassies",191,"0:03:11",287,"0:04:47",False,"https://www.nationstates.net/region=commonwealth_of_geopolitics"
"Empire of British Embassies","Embassies",194,"0:03:14",291,"0:04:51",False,"https://www.nationstates.net/region=empire_of_british_embassies"
