Date,Count
30 June 2022,1259
01 July 2022,1277
02 July 2022,1281
03 July 2022,1212
04 July 2022,1367
05 July 2022,1345
06 July 2022,1349
07 July 2022,1342
08 July 2022,1332
09 July 2022,1789
10 July 2022,1796
11 July 2022,1837
12 July 2022,1897
13 July 2022,1718
14 July 2022,1682
15 July 2022,1351
16 July 2022,1332
17 July 2022,1173
18 July 2022,1071
19 July 2022,1014
20 July 2022,988
21 July 2022,988
22 July 2022,988
23 July 2022,908
24 July 2022,817
25 July 2022,872
26 July 2022,839
27 July 2022,855
28 July 2022,963
29 July 2022,987
30 July 2022,982
31 July 2022,996
01 August 2022,998
02 August 2022,916
03 August 2022,947
04 August 2022,921
05 August 2022,889
06 August 2022,882
07 August 2022,876
08 August 2022,894
09 August 2022,911
10 August 2022,930
11 August 2022,945
12 August 2022,910
13 August 2022,1179
14 August 2022,1203
15 August 2022,1233
16 August 2022,1208
17 August 2022,1202
18 August 2022,1371
19 August 2022,1360
20 August 2022,1287
21 August 2022,1574
22 August 2022,1516
23 August 2022,1467
24 August 2022,1425
25 August 2022,1560
26 August 2022,1384
27 August 2022,1613
28 August 2022,1548
29 August 2022,1492
30 August 2022,1412
31 August 2022,1472
01 September 2022,1403
02 September 2022,1364
03 September 2022,1321
04 September 2022,1271
05 September 2022,1214
06 September 2022,1184
07 September 2022,1153
08 September 2022,1087
09 September 2022,1059
10 September 2022,1025
11 September 2022,1019
12 September 2022,966
13 September 2022,954
14 September 2022,830
15 September 2022,828
16 September 2022,771
17 September 2022,830
18 September 2022,799
19 September 2022,807
20 September 2022,856
21 September 2022,872
22 September 2022,765
23 September 2022,744
24 September 2022,843
25 September 2022,803
26 September 2022,792
27 September 2022,761
28 September 2022,702
29 September 2022,663
30 September 2022,522
01 October 2022,502
02 October 2022,480
03 October 2022,881
04 October 2022,852
05 October 2022,839
06 October 2022,780
07 October 2022,791
08 October 2022,805
09 October 2022,807
10 October 2022,763
11 October 2022,746
12 October 2022,733
13 October 2022,745
14 October 2022,734
15 October 2022,745
16 October 2022,641
17 October 2022,693
18 October 2022,1073
19 October 2022,1064
20 October 2022,1115
21 October 2022,1297
22 October 2022,1294
23 October 2022,1317
24 October 2022,1329
25 October 2022,1276
26 October 2022,1223
27 October 2022,1209
28 October 2022,1139
29 October 2022,1077
30 October 2022,1041
31 October 2022,967
01 November 2022,1044
02 November 2022,973
03 November 2022,924
04 November 2022,920
05 November 2022,890
06 November 2022,868
07 November 2022,842
08 November 2022,801
09 November 2022,869
10 November 2022,1112
11 November 2022,1049
12 November 2022,1020
13 November 2022,990
14 November 2022,945
15 November 2022,842
16 November 2022,782
17 November 2022,766
18 November 2022,751
19 November 2022,781
20 November 2022,751
21 November 2022,736
22 November 2022,697
23 November 2022,633
24 November 2022,606
25 November 2022,631
26 November 2022,626
27 November 2022,634
28 November 2022,608
29 November 2022,921
30 November 2022,934
01 December 2022,903
02 December 2022,870
03 December 2022,779
04 December 2022,774
05 December 2022,744
06 December 2022,739
07 December 2022,705
08 December 2022,715
09 December 2022,674
10 December 2022,677
11 December 2022,637
12 December 2022,718
13 December 2022,707
14 December 2022,699
15 December 2022,703
16 December 2022,684
17 December 2022,730
18 December 2022,799
19 December 2022,802
20 December 2022,744
21 December 2022,757
27 December 2022,788
28 December 2022,766
29 December 2022,728
30 December 2022,705
31 December 2022,747
01 January 2023,687
02 January 2023,646
03 January 2023,724
04 January 2023,717
05 January 2023,705
06 January 2023,704
07 January 2023,698
08 January 2023,695
09 January 2023,691
10 January 2023,678
11 January 2023,706
12 January 2023,725
13 January 2023,728
14 January 2023,639
15 January 2023,640
16 January 2023,610
17 January 2023,643
18 January 2023,646
19 January 2023,657
20 January 2023,639
21 January 2023,670
22 January 2023,681
23 January 2023,596
24 January 2023,535
25 January 2023,467
26 January 2023,458
27 January 2023,442
28 January 2023,427
29 January 2023,436
30 January 2023,452
31 January 2023,424
01 February 2023,381
02 February 2023,345
03 February 2023,317
04 February 2023,322
05 February 2023,324
06 February 2023,353
07 February 2023,354
08 February 2023,315
09 February 2023,253
10 February 2023,223
11 February 2023,265
12 February 2023,248
13 February 2023,228
14 February 2023,314
15 February 2023,287
16 February 2023,286
17 February 2023,306
18 February 2023,285
19 February 2023,322
20 February 2023,314
21 February 2023,273
22 February 2023,273
23 February 2023,233
24 February 2023,204
25 February 2023,203
26 February 2023,187
27 February 2023,358
28 February 2023,358
01 March 2023,337
02 March 2023,280
03 March 2023,267
04 March 2023,274
05 March 2023,246
06 March 2023,194
07 March 2023,200
08 March 2023,196
09 March 2023,152
10 March 2023,143
11 March 2023,135
12 March 2023,131
13 March 2023,130
14 March 2023,129
15 March 2023,127
16 March 2023,137
17 March 2023,137
18 March 2023,139
19 March 2023,138
20 March 2023,147
21 March 2023,144
